title,instructor,rating,reviews_count,description,duration,what_you_learn,tag,level,price,thumbnail_url,external_id,scraped_date,url,video_hours,reading_count,assignment_count
Information Security,BITS Pilani Instructors Group,N/A,N/A,"The course ""Information Security"" aims to prepare you for a deeper understanding and application of information security principles and practices essential for today’s digital landscape. In this course, you’ll be introduced to the fundamental concepts of securing information systems, program security, database integrity, operating system protections, cloud security, and privacy frameworks. You’ll learn about various types of security threats, vulnerabilities, and defences, as well as the legal and ethical dimensions of cybersecurity. The course covers a wide variety of topics, from program-level safeguards to physical security and auditing practices. These topics are designed to give you an overview of critical areas within the field, serving as a foundation for further specialisation and research in your degree program. Whether you're interested in secure software design, cloud infrastructure security, or the evolving challenges in privacy and anonymity, this course offers a comprehensive starting point to build your expertise in cybersecurity.",6 weeks,"Authentications, Data Integrity, Information Systems Security, Cyber Attacks, Network Security, Application Security, Threat Management, Encryption, Computer Security, Data Security, Show all","Authentications, Data Integrity, Information Systems Security, Cyber Attacks, Network Security",Intermediate,570000,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~information-security-is/XDP~COURSE!~information-security-is.jpeg,information-security-is,2026-04-30,https://www.coursera.org/learn/information-security-is,880,58,96
Financial Markets,Robert Shiller,4.8,32156,"An overview of the ideas, methods, and institutions that permit human society to manage risks and foster enterprise.  Emphasis on financially-savvy leadership skills. Description of practices today and analysis of prospects for the future. Introduction to risk management and behavioral finance principles to understand the real-world functioning of securities, insurance, and banking industries.  The ultimate goal of this course is using such industries effectively and towards a better society.",3 weeks at 10 hours a week,"Bank Regulations, Investment Banking, Financial Regulation, Finance, Securities (Finance), Portfolio Risk, Governance, Behavioral Economics, Risk Management, Financial Systems, Financial Services, Show all","Bank Regulations, Investment Banking, Financial Regulation, Finance, Securities (Finance)",Beginner,570000,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~financial-markets-global/XDP~COURSE!~financial-markets-global.jpeg,financial-markets-global,2026-04-30,https://www.coursera.org/learn/financial-markets-global,1109,1,26
Prompt Engineering for ChatGPT,Dr. Jules White,4.8,7839,"Large language models respond to instructions and questions posed by users in natural language statements, known as “prompts”. Although large language models will disrupt many fields, most users lack the skills to write effective prompts. Expert users, who understand how to write good prompts, are orders of magnitude more productive and can unlock significantly more creative uses for these tools. 

This course introduces students to the patterns and approaches for writing effective prompts for large language models.  Anyone can take the course and the only required knowledge is basic computer usage skills, such as using a browser and accessing ChatGPT. Students will start with basic prompts and build towards writing sophisticated prompts to solve problems in any domain. By the end of the course, students will have strong prompt engineering skills and be capable of using large language models for a wide range of tasks in their job, business, personal life, and education, such as writing, summarization, game play, planning, simulation, and programming.",2 weeks at 10 hours a week,"AI powered creativity, Large Language Modeling, LLM Application, Artificial Intelligence, Prompt Patterns, AI literacy, AI Enablement","AI powered creativity, Large Language Modeling, LLM Application, Artificial Intelligence, Prompt Patterns",Beginner,570000,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~prompt-engineering/XDP~COURSE!~prompt-engineering.jpeg,prompt-engineering,2026-04-30,https://www.coursera.org/learn/prompt-engineering,348,24,7
The Bits and Bytes of Computer Networking,Google Career Certificates,4.7,52523,"By the end of this course, you’ll be able to:
● describe computer networks in terms of a five-layer model
● understand all of the standard protocols involved with TCP/IP communications
● grasp powerful network troubleshooting tools and techniques
● learn network services like DNS and DHCP that help make computer networks run
● understand cloud computing, everything as a service, and cloud storage",2 weeks at 10 hours a week,"Networking Hardware, Network Routers, TCP/IP, Network Security, General Networking, Computer Networking, Data Integrity, Network Troubleshooting, Network Routing, Network Administration, Show all","Networking Hardware, Network Routers, TCP/IP, Network Security, General Networking",Beginner,570000,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~computer-networking/XDP~COURSE!~computer-networking.jpeg,computer-networking,2026-04-30,https://www.coursera.org/learn/computer-networking,311,28,31
Operating Systems and You: Becoming a Power User,Google Career Certificates,4.7,29435,"By the end of this course you’ll be able to:
● navigate the Windows and Linux filesystems using a graphical user interface and command line interpreter
● set up users, groups, and permissions for account access
● install, configure, and remove software on the Windows and Linux operating systems
● configure disk partitions and filesystems
● understand how system processes work and how to manage them
● work with system logs and remote connection tools
● utilize operating system knowledge to troubleshoot common issues in an IT Support Specialist role",3 weeks at 10 hours a week,"System Monitoring, File Systems, Systems Administration, Linux Administration, System Support, Linux Commands, User Accounts, Operating System Administration, File Management, Show all","System Monitoring, File Systems, Systems Administration, Linux Administration, System Support",Beginner,570000,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~os-power-user/XDP~COURSE!~os-power-user.jpeg,os-power-user,2026-04-30,https://www.coursera.org/learn/os-power-user,306,74,18
System Administration and IT Infrastructure Services,Google Career Certificates,4.8,26434,"This course will transition you from working on a single computer to an entire fleet. Systems administration is the field of IT that’s responsible for maintaining reliable computers systems in a multi-user environment. In this course, you’ll learn about the infrastructure services that keep all organizations, big and small, up and running. We’ll deep dive on cloud so that you’ll understand everything from typical cloud infrastructure setups to how to manage cloud resources. You'll also learn how to manage and configure servers and how to use industry tools to manage computers, user information, and user productivity. Finally, you’ll learn how to recover your organization’s IT infrastructure in the event of a disaster.",2 weeks at 10 hours a week,"System Configuration, Technical Consulting, Operating System Administration, Cloud Computing, Cloud Infrastructure, Systems Administration, Cloud Management, Network Infrastructure, Cloud Services, Show all","System Configuration, Technical Consulting, Operating System Administration, Cloud Computing, Cloud Infrastructure",Beginner,570000,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~system-administration-it-infrastructure-services/XDP~COURSE!~system-administration-it-infrastructure-services.jpeg,system-administration-it-infrastructure-services,2026-04-30,https://www.coursera.org/learn/system-administration-it-infrastructure-services,271,57,20
IT Security: Defense against the digital dark arts,Google Career Certificates,4.8,26002,"This course covers a wide variety of IT security concepts, tools, and best practices. It introduces threats and attacks and the many ways they can show up. We’ll give you some background of encryption algorithms and how they’re used to safeguard data. Then, we’ll dive into the three As of information security: authentication, authorization, and accounting. We’ll also cover network security solutions, ranging from firewalls to Wifi encryption options. The course is rounded out by putting all these elements together into a multi-layered, in-depth security architecture, followed by recommendations on how to integrate a culture of security into your organization or team.",2 weeks at 10 hours a week,"Hardening, Computer Security Awareness Training, Cryptographic Protocols, Threat Detection, Security Strategy, AI Security, Network Security, Cybersecurity, Information Systems Security, Show all","Hardening, Computer Security Awareness Training, Cryptographic Protocols, Threat Detection, Security Strategy",Beginner,570000,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~it-security/XDP~COURSE!~it-security.jpeg,it-security,2026-04-30,https://www.coursera.org/learn/it-security,341,59,26
Accelerate Your Job Search with AI,Google Career Certificates,4.8,4850,"All Google Career Certificates now include an optional course, Accelerate Your Job Search with AI. This course was designed by experts at Google and informed by employers, workforce nonprofits, and educational institutions, to help you navigate your path to your next role more efficiently and confidently. No matter where you are on your job search  journey—whether you're just starting out, seeking a new challenge, or ready for your next career move—this course is for everyone.",3 months,"Web Presence, Interviewing Skills, Branding, Prompt Engineering Tools, Professional Development, AI literacy","Web Presence, Interviewing Skills, Branding, Prompt Engineering Tools, Professional Development",Beginner,570000,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~accelerate-your-job-search-with-ai/XDP~COURSE!~accelerate-your-job-search-with-ai.jpeg,accelerate-your-job-search-with-ai,2026-04-30,https://www.coursera.org/learn/accelerate-your-job-search-with-ai,94,10,18
Introduction to Software Engineering,N/A,4.7,4666,"Learn about the power of the Software Development Lifecycle (SDLC), and modern software development frameworks methodologies like Agile and Scrum. Explore fundamental programming principles and foundations of design, architecture, and deployment. The course offers a number of labs that will help you get important hands-on experience. These include getting started with an IDE, the basics of programming in Python, and Hello World in 10 languages.

The field of software engineering is growing at an estimated rate of 22% according to the US Bureau of Labor and Statistics. In addition to aspiring software engineers, front-end, back-end, full-stack developers, and DevOps professionals, this course is also suitable for those in related careers such as Product and Project Managers, IT Managers, Information Developers, UI/UX designers, and others who communicate and interact with software engineers.

You will learn about the different job opportunities and possible career paths in software engineering and hear from industry professionals about their daily work.
Software engineering professionals are in great demand, and now is the right time to learn more about this exciting domain. Start by enrolling now!",2 weeks at 10 hours a week,"Software Design Patterns, Software Development, Full-Stack Web Development, Computer Programming Tools, Programming Principles, Software Design, Software Development Methodologies, Show all","Software Design Patterns, Software Development, Full-Stack Web Development, Computer Programming Tools, Programming Principles",Beginner,570000,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~introduction-to-software-engineering/XDP~COURSE!~introduction-to-software-engineering.jpeg,introduction-to-software-engineering,2026-04-30,https://www.coursera.org/learn/introduction-to-software-engineering,297,7,17
Introduction to Cloud Computing,Rav Ahuja,4.6,7732,"In this course you’ll learn about essential characteristics of cloud computing and emerging technologies supported by cloud. You’ll explore cloud service models, including Infrastructure as a Service (IaaS), Platform as a Service (PaaS), Software as a Service (SaaS), and Public, Private, and Hybrid deployment models. 

Discover the offerings of prominent cloud service providers AWS, Google, IBM, Microsoft, and others, and review cloud computing case studies. Learn about cloud adoption, blockchain, analytics, and AI. 

You will learn about the many components of cloud computing architecture including datacenters, availability zones, virtual machines, containers, and bare metal servers. You will also familiarize yourself with different types of cloud storage options, such as Object Storage. 

You’ll gain foundational knowledge of emergent cloud trends and practices including Hybrid, Multicloud, Microservices, Serverless, DevOps, Cloud Native, Application Modernization, as well as learn about cloud security and monitoring. You’ll also explore cloud computing job roles and possible career paths and opportunities. 

You will complete a number of labs and quizzes throughout this course to increase your understanding of course content. At the end of the course, you will complete a final project where you will deploy an application to Cloud using a serverless architecture, a valuable addition to your portfolio. 

After this course, check out the related courses to help you towards yo",1 week at 10 hours a week,"DevOps, Hybrid Cloud Computing, Cloud-Native Computing, Microservices, Cloud Services, Cloud Technologies, Cloud Deployment, Cloud Computing, Serverless Computing, Cloud Computing Architecture, Show all","DevOps, Hybrid Cloud Computing, Cloud-Native Computing, Microservices, Cloud Services",Beginner,570000,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~introduction-to-cloud/XDP~COURSE!~introduction-to-cloud.jpeg,introduction-to-cloud,2026-04-30,https://www.coursera.org/learn/introduction-to-cloud,274,29,17
